Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P122 Ica - PVH,FRESCOS,202503,123629,1004975,8.128985215053763,171129.33023918752,1000341,5.872606049444276,162980,1032802,6.336975806451614,9.0,8.0,8.0,9.5
Export,P119 Puente Piedra - PVH,ALMACÉN FRESCOS,202502,123618,1033157,8.35765625,135505.1643149842,1002471,7.624485865338737,129053,1023077,7.927600574712645,9.5,9.5,9.5,9.5
Export,P107 Mercaderes - PVS,FRESCOS,202506,123602,726049,5.874069444444445,95542.46882857177,787416,7.599226280228553,90993,756475,8.313569444444445,8.0,10.0,10.0,7.0
Export,P159 Acho - PVH,ELECTRO,202505,123465,308443,2.498219086021506,92443.84275681246,237998,3.3365395769127084,88042,221572,2.511861559139785,2.5,2.5,2.5,2.5
Export,P229 Salaverry - PVH,FRESCOS,202503,123178,2168316,17.603071236559142,104023.0525024031,2261412,20.84457394624051,99070,2264240,22.855047043010753,21.5,24.0,25.0,20.0
Export,V290 Asia - VIV,ABARROTES,202504,123136,1422645,11.55345138888889,138137.6287306851,1456834,10.29874707617579,131560,543840,4.133791666666667,10.0,5.0,4.0,11.0
Export,V290 Asia - VIV,CAJAS,202502,123025,4390498,35.68776041666667,134430.23268882878,4671034,32.66004880139476,128029,4655072,36.35956896551724,38.0,43.0,36.0,38.0
Export,P236 Pisco - PVH,ALMACÉN FRESCOS,202506,123014,510720,4.151729166666668,132404.72920206678,524542,3.857264865672395,126100,530299,4.205395833333334,5.0,5.0,4.5,4.5
Export,P048 Higuereta - PVH,ELECTRO,202502,122972,449943,3.6589062500000002,107530.19633345905,448240,4.184339332969263,102410,409573,3.999353448275863,3.0,3.5,4.0,4.0
Export,P010 Caminos del Inca - PVS,FRESCOS,202502,122933,4269188,34.55505208333334,116265.50670536562,4009132,36.71929655644787,110729,3961686,35.778196839080465,43.5,38.5,37.0,40.5
Export,P465 Sucre - PVH,FRESCOS,202502,122894,1955617,15.829166666666666,107696.19605768083,1945801,18.158649530690887,102568,1947848,18.988254310344832,20.5,20.5,20.5,19.5
Export,P119 Puente Piedra - PVH,FRESCOS,202503,122616,1263262,10.30256048387097,130110.60107331561,1238834,9.709138222243464,123915,1267628,10.229831989247312,11.0,11.5,11.5,11.0
Export,P068 Primavera - PVH,ELECTRO,202503,122610,284768,2.322560483870968,91661.33704257457,398833,3.1067444485097537,87297,335098,3.83861559139785,2.0,3.5,4.0,3.0
Export,P516 Ilo - PVH,ALMACÉN FRESCOS,202504,122487,644646,5.262979166666667,115114.0615358866,611708,5.600066502727233,109632,573156,5.2279791666666675,6.0,6.5,5.5,6.5
Export,P120 Universitaria - PVH,ELECTRO,202506,122381,383413,3.1329375000000006,159071.21692528008,455845,2.410325371308999,151496,498813,3.2925763888888895,3.5,3.5,3.5,3.5
Export,P102 Chiclayo - PVH,ALMACÉN FRESCOS,202503,122292,873491,6.943077956989248,168048.77580770862,949654,5.1978444103603625,160046,975729,6.096538978494624,7.0,7.0,7.0,7.0
Export,P130 Chimbote - PVH,ALMACÉN FRESCOS,202502,122165,433776,3.5507291666666667,84121.4511172133,487971,5.156544070971677,80116,503234,6.281343390804599,5.0,5.0,5.0,5.0
Export,P177 Talara - PVH,FRESCOS,202503,122046,693924,5.685759408602151,95332.25448978345,680639,7.2790003101664436,90793,627719,6.913770161290323,6.0,8.5,7.5,6.0
Export,P061 Cortijo - PVH,ELECTRO,202505,121780,360491,2.960181451612904,149148.68274314213,360374,2.416993320824856,142046,321552,2.263709677419355,2.0,2.5,3.0,3.0
Export,P001 Los Olivos - PVH,ELECTRO,202503,121775,333706,2.7403494623655913,73679.84394957984,319982,4.5291416500333535,70171,284614,4.030645161290323,3.0,3.5,4.0,3.0
Export,P177 Talara - PVH,FRESCOS,202506,121698,536300,4.406791666666667,97883.85012391524,590840,5.478939266498774,93223,554045,5.9432430555555555,6.0,8.5,6.5,5.5
Export,P229 Salaverry - PVH,FRESCOS,202504,121537,2083389,17.142027777777784,101496.70181430096,2181886,20.526669268640696,96664,2048927,21.18010416666667,21.5,24.0,26.0,20.5
