Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P229 Salaverry - PVH,ALMACÉN,202602,734072,6584856,8.96953125,904051.6309316482,6638839,7.343429214057726,696585,5657866,8.122291666666667,8.5,6.5,8.5,10.0
Export,P061 Cortijo - PVH,ALMACÉN,202602,734052,5349240,7.269583333333333,930585.5849390773,6209502,6.6726818519400535,689557,5190283,7.476249999999999,8.0,8.0,9.0,8.0
Export,P064 Miraflores - PVH,ALMACÉN FRESCOS,202603,729357,3224120,4.417103494623657,373573.34186460864,2181144,5.838596620447547,624995,3610901,5.75364247311828,7.0,7.0,7.5,4.5
Export,P221 Barranca - PVH,ALMACÉN,202602,729009,2525407,3.4641666666666664,763338.9965054309,2048593,2.68372618597827,684095,2381471,3.4811979166666664,3.0,3.0,4.0,3.5
Export,P236 Pisco - PVH,ALMACÉN,202604,728866,4580519,6.284444444444445,743722.6822121356,3934482,5.290253590353384,694999,4178667,6.007458333333333,6.0,6.5,6.5,6.5
Export,P080 Bolichera - PVH,ALMACÉN,202605,725622,4749369,6.545235215053774,742372.3751009792,4708357,6.34231141798556,790905,4670215,5.904368279569894,7.5,8.0,6.5,7.5
Export,P068 Primavera - PVH,ALMACÉN,202604,724595,4314964,4.568083333333336,8.824444444444444,40,4.5,646302,3390692,5.220590277777777,4.5,4.5,5.5,5.0
Export,P141 Chosica - PVH,ALMACÉN,202603,723576,4283765,5.920268817204302,669167.0816005968,3799057,5.677292399400376,725340,3981617,5.489307795698926,6.5,6.5,6.0,6.5
Export,P465 Sucre - PVH,ALMACÉN,202605,721873,7388093,10.221411290322628,865770.4322905757,7479675,8.639328487126736,908906,7016302,7.695201612903228,10.0,10.0,8.5,10.5
Export,P112 Ceres - PVH,ALMACÉN,202601,721834,3461807,4.795846774193548,815436.195999593,3205017,3.9304331995848756,571013,3591714,6.290073924731183,4.5,4.5,7.5,5.0
Export,P724 Tumbes - PVH,ALMACÉN,202602,720461,5826326,6.955104166666667,870200.1407310717,5370843,6.171962522078948,769817,6031770,6.125208333333334,7.0,7.0,7.0,7.5
Export,P261 El Agustino - PVH,ALMACÉN,202601,719967,1587154,2.2044825268817205,551302.1719027965,1444571,2.6202887997232507,360078,1543174,4.279314516129032,3.0,3.0,5.0,2.5
Export,P118 Alfonso Ugarte - PVH,ALMACÉN,202603,715385,2912135,4.070725806451613,674150.7373487118,2944116,4.3671479995387505,679708,3049343,4.4862567204301085,4.5,5.0,5.0,4.5
Export,V095 Monterrico - VIV,ALMACÉN,202605,712317,3041998,4.270564516129024,660066.4204030655,3080038,4.666254691791765,825251,3045570,3.6904771505376344,5.5,5.5,4.0,4.5
Export,P066 Ate - PVH,ALMACÉN,202604,712051,4460196,6.267333333333339,821195.1644088847,4166620,5.073849134388449,694718,4221751,6.076923611111112,6.0,6.5,6.0,7.0
Export,P172 Puno - PVH,ALMACÉN,202604,710362,6114605,8.112319444444436,965977.1620071491,5536119,5.731108056216166,655563,5227710,7.421895833333333,7.0,7.0,8.0,9.5
Export,P059 Callao - PVH,ALMACÉN,202602,709157,3210448,4.527135416666667,466969.9344313626,2961669,6.34231141798556,509084,2890722,5.67828125,7.5,7.5,7.0,7.5
Export,V090 Pezet - VIV,ALMACÉN,202605,704053,1982080,2.8152419354838694,654764.521102705,1944281,2.9694348038674865,512698,1905751,3.717103494623656,3.5,3.5,4.0,3.5
Export,P135 Colonial - PVH,ALMACÉN,202605,702996,3158777,4.4935483870967685,527071.8926435605,3222521,6.114007199354251,476516,3062555,6.426969086021506,7.0,7.0,7.0,6.0
Export,V290 Asia - VIV,ALMACÉN,202602,701916,2700002,3.8466145833333334,763564.0129354838,2367048,3.1,1334942,2683581,2.0102604166666667,2.5,3.0,2.0,4.0
Export,P120 Universitaria - PVH,ALMACÉN,202605,698820,3592108,5.140248655913976,596918.5278830815,3785843,6.34231141798556,534971,3858173,7.211928763440861,7.5,8.0,8.0,6.0
Export,P064 Miraflores - PVH,INVENTARIOS,202602,698661,2825531,4.043958333333332,2889408.402449318,7230039,2.50225569447752,1482836,6049311,4.058645833333333,3.0,3.0,4.0,4.0
Export,P068 Primavera - PVH,ALMACÉN,202605,696843,4912684,4.862977150537635,10.857777777777777,49,4.5,844372,3559687,4.197318548387097,4.5,4.5,4.5,6.5
Export,V090 Pezet - VIV,ALMACÉN,202603,696553,2110845,3.030416666666667,654644.0982870454,1943923,2.9694348038674865,555787,2019920,3.5428561827956995,3.5,3.5,4.0,3.5
Export,P037 Jockey Plaza - PVH,ALMACÉN,202602,689169,3808343,5.525989583333334,810071.8067897634,3767667,4.651028373189411,681302,3796840,5.572916666666666,5.5,5.5,6.0,6.5
Export,P109 Dasso - PVS,ALMACÉN,202603,688050,3260591,4.7179435483870975,1157130.1503826599,4427270,3.826078038097887,1012341,3317719,3.2278561827956995,4.5,4.5,5.5,5.5
Export,P261 El Agustino - PVH,ALMACÉN,202602,686665,1634407,2.380208333333333,530124.3463112584,1389079,2.6202887997232507,507821,1619815,3.1897395833333335,3.0,3.0,3.5,2.5
Export,2638 SJB Ayacucho - PVH,ALMACÉN,202601,685755,4525192,6.548622311827957,607481.2613571428,4252369,7,,,,7.0,,,7.5
Export,P465 Sucre - PVH,ALMACÉN,202601,685682,6429187,9.363440860215055,916365.078836464,7916779,8.639328487126736,899001,7115816,7.879986559139787,10.0,10.0,9.0,10.0
Export,P258 Chaclacayo - PVS,CAJAS,202601,685302,1117393,1.6305107526881721,,1152569,,729143,1113516,1.5271572580645163,,,2.0,2.0
Export,SO06 Tarapoto 2 - PVO,ALMACÉN,202603,683517,6087642,8.671908602150538,1161027.9402923076,7546682,6.5,,,,6.5,,,10.0
Export,P226 Paita - PVH,ALMACÉN,202603,680653,5970576,8.039791666666668,716661.4852997517,5055095,7.053671453804512,827819,5589037,6.205584677419355,8.5,9.0,8.0,14.0
Export,P259 Moquegua - PVH,ALMACÉN,202604,679699,5398958,7.666993055555563,732583.6534854713,4521479,6.171962522078948,634923,4721062,7.198333333333332,7.0,7.5,7.5,8.0
Export,P262 Talara Municipalidad - PVH,ALMACÉN,202605,677936,4309677,6.252580645161297,616386.9787614811,4076054,6.61281698794173,713729,3866337,5.325645161290323,7.5,8.0,6.0,7.5
Export,P147 Juliaca - PVH,ELECTRO,202602,677685,1959407,2.893697916666667,732953.1777495816,1640797,2.2386113269033254,368345,1229717,3.3384895833333332,2.5,2.5,4.0,3.0
Export,P108 Ayacucho - PVS,ALMACÉN FRESCOS,202604,676987,1006718,1.4861388888888891,275799.5877023154,672495,2.4383469406265332,497404,1033066,2.070784722222222,3.0,3.0,3.0,3.0
Export,V140 Libertadores - VIV,ALMACÉN,202603,676031,1573971,2.328252688172044,681542.7803446441,1445569,2.1210248599053476,537421,1507307,2.804704301075269,2.5,2.5,3.0,2.5
