Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P231 Ventanilla - PVH,ABARROTES,202512,358671,6656396,18.55851478494623,447468.3572548274,6988108,14.875680865651177,426160,6542861,15.35305107526882,16.5,19.0,16.5,18.0
Export,P465 Sucre - PVH,ALMACÉN FRESCOS,202510,358423,1733338,4.827271505376345,376575.80401070404,2099738,4.602891453829918,358644,2053672,5.695779569892473,8.5,8.5,6.5,5.5
Export,SO03 Huanuco - PVO,CAJAS,202511,357660,8665585,24.228555555555552,340986.70021365955,7708093,25.41326308202113,324749,7713687,23.75275,24.5,31.0,27.5,28.5
Export,P123 El Chacarero - PVH,ABARROTES,202510,357479,5415357,13.546458333333334,301599.7331565841,4128328,17.955444997653444,287238,3967147,12.846505376344089,15.5,15.0,14.5,11.0
Export,P135 Colonial - PVH,ALMACÉN FRESCOS,202512,357384,1079726,3.02119623655914,467140.49718852155,1144582,2.3113520161457126,444896,1152364,2.590188172043011,3.0,3.0,2.5,3.0
Export,P724 Tumbes - PVH,ELECTRO,202512,357225,1171779,3.282002688172043,348387.03613478737,1256126,3.363440020617331,331797,1336826,4.029045698924731,3.5,3.5,4.0,3.5
Export,P089 Risso - PVH,ABARROTES,202509,357184,2814386,7.879375000000001,352823.7174403243,3444510,7.976748333184313,336023,3078665,9.162076388888888,10.5,9.0,9.5,7.5
Export,SO03 Huanuco - PVO,CAJAS,202510,357021,7934118,22.22311827956989,369690.6300268285,8007505,21.461506285469607,352086,7630799,21.673091397849454,24.5,24.5,27.5,26.5
Export,P146 Tacna - PVH,ALMACÉN FRESCOS,202509,356613,1234761,3.4321388888888893,234845.12264377953,1078450,5.2577658249812735,223662,1226248,5.454312500000001,6.0,6.0,6.0,5.5
Export,P102 Chiclayo - PVH,ABARROTES,202509,356503,4842273,12.932694444444445,421835.3574742908,5672937,11.479059221096982,401748,5115770,12.351645833333333,12.5,12.5,13.0,15.5
Export,P202 LurIn - PVH,CAJAS,202512,356439,9428030,26.450591397849458,318929.86907622806,9744273,29.561451008988396,303743,9216187,30.342083333333335,29.5,32.5,32.0,31.0
Export,SO02 Pucallpa - PVO,ALMACÉN FRESCOS,202512,356422,1837498,5.155396505376345,263518.0353450549,1801573,6.9729489960486,250970,1917831,7.497056451612903,4.5,7.5,7.5,4.0
